outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id,platform,device,manufacturer,Model
143.81,79.38,9005.49,22908,android,GT-I9505,Samsung,GT-I9505
42.25,37.06,1557.33,22909,android,HTC Desire 825,HTC,HTC Desire 825
8.14,0.79,1777.61,22912,android,SM-N910F,Samsung,SM-N910F
8.14,0.79,1777.61,22912,android,SM-N910F,Samsung,SM-N910F
392.95,89.48,1557.33,22916,android,GT-I9195,Samsung,GT-I9195
362.01,14.19,7267.55,22920,android,D6603,Sony,D6603
362.01,14.19,7267.55,22920,android,D6603,Sony,D6603
362.01,14.19,7267.55,22921,android,D6603,Sony,D6603
362.01,14.19,7267.55,22921,android,D6603,Sony,D6603
155.71,10.14,1557.33,22922,android,LG-H815,LGE,LG-H815
142.73,61.34,1557.33,22926,android,GT-I9515,Samsung,GT-I9515
142.73,61.34,1557.33,22927,android,GT-I9515,Samsung,GT-I9515
115.26,0.92,1557.33,22931,android,EVA-L09,Huawei,EVA-L09
237.19,25.35,3114.67,22932,android,SM-G900F,Samsung,SM-G900F
237.19,25.35,3114.67,22933,android,SM-G900F,Samsung,SM-G900F
237.19,25.35,3114.67,22934,android,SM-G900F,Samsung,SM-G900F
293.2,94.57,519.12,22935,android,SM-G900F,Samsung,SM-G900F
165.9,81.62,3114.67,22936,android,ONEPLUS A3003,,
129.85,66.65,2362.07,22937,android,HTC One M9,HTC,HTC One M9
129.85,66.65,2362.07,22937,android,HTC One M9,HTC,HTC One M9
129.85,66.65,2362.07,22937,android,HTC One M9,HTC,HTC One M9
129.85,66.65,2362.07,22937,android,HTC One M9,HTC,HTC One M9
129.85,66.65,2362.07,22937,android,HTC One M9,HTC,HTC One M9
137.06,190.61,519.12,22938,android,SM-G920F,Samsung,SM-G920F
221.64,83.86,519.12,22939,android,SM-A300FU,Samsung,SM-A300FU
59.95,154.33,3114.67,22941,android,SM-G920F,Samsung,SM-G920F
61.43,125.51,519.12,22942,android,GT-I9505,Samsung,GT-I9505
